ADAGSZµM;Kezdet_DµTUM;Kezdet_IDŠ;V‚ge_DµTUM;V‚ge_IDŠ;ADAGK™ZI IDŠ;ADAGIDŠ
1;2024.07.17;17:49:00;2024.07.18;1:00:00;0;431
2;2024.07.18;1:00:00;2024.07.18;2:22:00;0;82
3;2024.07.18;2:22:00;2024.07.18;3:36:00;0;74
4;2024.07.18;3:36:00;2024.07.18;4:43:00;0;67
5;2024.07.18;4:43:00;2024.07.18;5:41:00;0;58
6;2024.07.18;5:41:00;2024.07.18;6:53:00;0;72
7;2024.07.18;6:53:00;2024.07.18;8:05:00;0;72
8;2024.07.18;8:05:00;2024.07.18;9:18:00;0;73
9;2024.07.18;9:18:00;2024.07.18;10:19:00;0;61
10;2024.07.18;10:19:00;2024.07.18;11:29:00;0;70
11;2024.07.18;11:29:00;2024.07.18;12:32:00;0;63
12;2024.07.18;12:32:00;2024.07.18;13:37:00;0;65
13;2024.07.18;13:37:00;2024.07.18;14:45:00;0;68
14;2024.07.18;14:45:00;2024.07.18;15:58:00;0;73
15;2024.07.18;15:58:00;2024.07.18;17:00:00;0;62
16;2024.07.18;17:00:00;2024.07.18;18:05:00;0;65
17;2024.07.18;18:05:00;2024.07.19;1:33:00;0;448
18;2024.07.19;1:33:00;2024.07.19;2:40:00;0;67
19;2024.07.19;2:40:00;2024.07.19;3:49:00;0;69
20;2024.07.19;3:49:00;2024.07.19;5:01:00;0;72
21;2024.07.19;5:01:00;2024.07.19;6:03:00;0;62
22;2024.07.19;6:03:00;2024.07.19;7:06:00;0;63
23;2024.07.19;7:06:00;2024.07.19;8:08:00;0;62
24;2024.07.19;8:08:00;2024.07.19;9:52:00;0;104
25;2024.07.19;9:52:00;2024.07.19;11:02:00;0;70
26;2024.07.19;11:02:00;2024.07.19;12:12:00;0;70
27;2024.07.19;12:12:00;2024.07.19;13:12:00;0;60
28;2024.07.19;13:12:00;2024.07.19;14:31:00;0;79
29;2024.07.19;14:31:00;2024.07.19;15:27:00;0;56
30;2024.07.19;15:27:00;2024.07.19;16:24:00;0;57
31;2024.07.19;16:24:00;2024.07.19;17:30:00;0;66
32;2024.07.19;17:30:00;2024.07.19;23:09:00;0;339
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
